OBJECTID,CHANGE_NUM,MINOR_CHANGE_NUM,CURRENT_NEXT_CODE,IN_SERVICE_FLAG,ROUTE_ID,LOCAL_EXPRESS_CODE,ROUTE_NUM,SHAPE_Length
121,157,3,IN SERVICE,Y,102561,L,907,116835.253538651
122,157,3,IN SERVICE,Y,102574,L,40,97847.293086669
123,157,3,IN SERVICE,Y,102576,L,673,98711.0252192099
124,157,3,IN SERVICE,Y,102581,L,674,69909.0464289907
125,157,3,IN SERVICE,Y,102593,L,906,79795.8924769852
126,157,3,IN SERVICE,Y,102615,L,675,125531.626054446
127,157,3,IN SERVICE,Y,102619,L,676,86276.1303359623
128,157,3,IN SERVICE,Y,102628,E,895,75532.9111328309
129,157,3,IN SERVICE,Y,102634,L,630,87592.0096466002
130,157,3,IN SERVICE,Y,102636,L,631,19597.7664419196
131,157,3,IN SERVICE,Y,102638,L,96,15602.8290602913
132,157,3,IN SERVICE,Y,102647,L,635,25814.1035016022
133,157,3,IN SERVICE,Y,102652,L,204,41710.2116904071
134,157,3,IN SERVICE,Y,102653,L,224,78407.2570500548
135,157,3,IN SERVICE,Y,102698,L,627,86500.303283651
136,157,3,IN SERVICE,Y,102699,L,629,159679.128720988
137,157,3,IN SERVICE,Y,102701,L,225,119968.945162958
138,157,3,IN SERVICE,Y,102702,L,239,79482.2399509488
139,157,3,IN SERVICE,Y,102703,L,231,65565.890779445
140,157,3,IN SERVICE,Y,102704,L,250,101625.717522011
141,157,3,IN SERVICE,Y,102705,L,230,68040.9506795172
142,157,3,IN SERVICE,Y,102715,L,162,243674.681485658
143,157,3,IN SERVICE,Y,102717,L,165,168293.68272079
144,157,3,IN SERVICE,Y,102745,L,677,17647.1769965918
145,157,3,IN SERVICE,Y,102746,L,333,61056.5663990368
146,157,3,IN SERVICE,Y,102747,L,61,43601.1186871774
