"
Year","Price
"
2000,273726.382053
2001,294261.992903
2002,307313.985448
2003,320854.261566
2004,347682.993990
2005,393430.526687
2006,459622.603228
2007,498467.157621
2008,477030.320147
2009,417267.551709
2010,392613.850885
2011,360152.170589
2012,338036.009708
2013,378138.594455
2014,416321.316263
2015,460562.021560
2016,523249.279439
2017,592299.855031
2018,668720.227428
2019,663531.304183
2020,698006.914599
2021,816184.947523
2022,963349.748175
2023,906706.132235
2024,951482.082444
